dataset,mode,scaling_mode,ranks,runs,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003124000,0.003310400,0.003165000,0.016376400,0.000040800,0.012305061,0.000001800,0.000001200,0.000037800,19,0.000000e+00,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000000,1.000000000
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,0.003757000,0.005345400,0.004464000,0.038270800,0.001578800,0.244170817,0.000044400,0.001073800,0.001269800,19,0.000000e+00,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033000,0.619298836
weak_4rank_50000_500000,directed,weak,4,5,50000,500000,50000,500000,125000.00,0.006059000,0.007541600,0.006297000,0.091940200,0.003777000,0.482141497,0.001134400,0.000570800,0.003034400,19,0.000000e+00,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044000,0.438951947
weak_8rank_100000_1000000,directed,weak,8,5,100000,1000000,100000,1000000,125000.00,0.009203000,0.011587200,0.012071000,0.259167800,0.006822200,0.588729560,0.000541600,0.001765400,0.004799400,19,0.000000e+00,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044000,0.285694560
weak_16rank_200000_2000000,directed,weak,16,5,200000,2000000,200000,2000000,125000.00,0.016720000,0.024371000,0.020221000,0.575710800,0.017087800,0.681398390,0.001440600,0.006814000,0.009935800,19,0.000000e+00,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051000,0.135833573
