dataset,mode,variant,ranks,threads,total_workers,runs,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_no_inv_static
polblogs,directed,no_inv_static,1,16,16,30,0.021204000,0.028250300,0.024197500,0.030081933,0.000044200,0.001653937,0.000009733,0.000009100,0.000025500,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.000000000
polblogs,directed,inv_static,1,16,16,30,0.020526000,0.023086167,0.022252500,0.024959967,0.000041000,0.001785773,0.000008567,0.000008300,0.000024067,108,2.168404e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.223689511
polblogs,directed,no_inv_dynamic,1,16,16,30,0.021098000,0.028298667,0.026027500,0.030076500,0.000044467,0.001632801,0.000009500,0.000009567,0.000025500,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,0.998290850
polblogs,directed,inv_dynamic,1,16,16,30,0.020480000,0.026189933,0.022238500,0.028065333,0.000044000,0.001770049,0.000009333,0.000009533,0.000025067,108,2.168404e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.078670176
polblogs,directed,no_inv_static,4,4,16,30,0.003205000,0.005697000,0.003868500,0.007749533,0.004479300,0.764175213,0.002230200,0.001175367,0.001386767,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,1.000000000
polblogs,directed,inv_static,4,4,16,30,0.002849000,0.008286367,0.004662500,0.010431967,0.006930000,0.778594411,0.003736133,0.001993467,0.001710800,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,0.687514834
polblogs,directed,no_inv_dynamic,4,4,16,30,0.004334000,0.006149267,0.005110000,0.008308000,0.004946800,0.790911719,0.001694867,0.001943067,0.001491467,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,0.926451935
polblogs,directed,inv_dynamic,4,4,16,30,0.003627000,0.005961067,0.005030000,0.008120367,0.004728633,0.774528976,0.002141133,0.001379567,0.001420433,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,0.955701440
