dataset,mode,scaling_mode,ranks,runs,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency,step_nodes,ranks_per_node,node_hosts
polblogs,directed,strong,1,5,0.002347000,0.002364000,0.002349000,0.006034800,0.000109400,0.046269884,0.000027200,0.000018400,0.000063800,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.000000000,1.000000000,1,1,nid001120
polblogs,directed,strong,2,5,0.003223000,0.003274200,0.003244000,0.006452600,0.002994000,0.914413202,0.000386600,0.002073800,0.000642800,108,1.040834e-17,PASS,612,612.00,612,1082,9545.00,18008,1.887000,0.722008430,0.361004215,2,1,nid001120;nid001121
polblogs,directed,strong,4,5,0.003380000,0.003405800,0.003400000,0.006621000,0.003282200,0.963708011,0.000439800,0.001920600,0.001067800,108,2.168404e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,0.694110048,0.173527512,2,2,nid001120;nid001121
polblogs,directed,strong,8,5,0.003254000,0.003345800,0.003355000,0.006515800,0.003280600,0.980507004,0.000578000,0.001678400,0.001338000,108,1.040834e-17,PASS,153,153.00,153,89,2386.25,10528,4.412000,0.706557475,0.088319684,2,4,nid001120;nid001121
polblogs,directed,strong,16,5,0.003554000,0.003731800,0.003828000,0.007318600,0.003693200,0.989644654,0.001082400,0.001081600,0.002113000,108,2.168404e-18,PASS,76,76.50,77,34,1193.12,5412,4.536000,0.633474463,0.039592154,2,8,nid001120;nid001121
