dataset,mode,scaling_mode,ranks,runs,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency,step_nodes,ranks_per_node,node_hosts
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003719000,0.003777800,0.003801000,0.035868000,0.000133400,0.035323276,0.000014400,0.000004400,0.000114800,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000000,1.000000000,1,1,nid001120
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,0.004657000,0.005837000,0.004861000,0.038623800,0.002029800,0.313842182,0.000107800,0.001352800,0.000581200,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033000,0.647216036,2,1,nid001120;nid001121
weak_4rank_50000_500000,directed,weak,4,5,50000,500000,50000,500000,125000.00,0.006093000,0.006133800,0.006113000,0.085371200,0.002084200,0.339755167,0.000201000,0.000491600,0.001465400,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044000,0.615898790,2,2,nid001120;nid001121
weak_8rank_100000_1000000,directed,weak,8,5,100000,1000000,100000,1000000,125000.00,0.011232000,0.011932400,0.012023000,0.206959800,0.006409200,0.536474743,0.000785400,0.001947400,0.004139800,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044000,0.316600181,2,4,nid001120;nid001121
weak_16rank_200000_2000000,directed,weak,16,5,200000,2000000,200000,2000000,125000.00,0.043782000,0.044137000,0.044061000,0.639380600,0.026305600,0.595969171,0.005666800,0.003919600,0.020449200,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051000,0.085592587,2,8,nid001120;nid001121
