dataset,mode,scaling_mode,ranks,runs,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup,parallel_efficiency
polblogs,directed,strong,1,5,0.001474000,0.001483600,0.001485000,0.003181200,0.000021000,0.014155856,0.000005000,0.000005000,0.000011200,108,0.000000e+00,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.000000000,1.000000000
polblogs,directed,strong,2,5,0.001855000,0.001888800,0.001897000,0.003685200,0.001586000,0.839694401,0.000066000,0.001102800,0.000430000,108,1.734723e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887000,0.785472258,0.392736129
polblogs,directed,strong,4,5,0.002750000,0.002926600,0.002772000,0.004922600,0.002599600,0.887760780,0.000255800,0.001125200,0.001298400,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,0.506936377,0.126734094
polblogs,directed,strong,8,5,0.002288000,0.002461000,0.002381000,0.004667800,0.002412400,0.980105115,0.000379400,0.001005200,0.001221200,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412000,0.602844372,0.075355547
polblogs,directed,strong,16,5,0.002636000,0.002843600,0.002858000,0.005415400,0.002814600,0.989784169,0.000596800,0.000947000,0.001598600,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536000,0.521733014,0.032608313
