dataset,mode,scaling_mode,ranks,runs,target_nodes,target_edges,nodes,edges,edges_per_rank,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,weak_efficiency
weak_1rank_12500_125000,directed,weak,1,5,12500,125000,12500,125000,125000.00,0.003815000,0.003856800,0.003837000,0.028422200,0.000130400,0.033820394,0.000017400,0.000005000,0.000108200,19,1.084202e-19,PASS,12500,12500.00,12500,125000,125000.00,125000,1.000000,1.000000000
weak_2rank_25000_250000,directed,weak,2,5,25000,250000,25000,250000,125000.00,1.984014000,2.004017600,2.004017000,2.253644200,1.999543400,0.997767231,0.702514400,0.698689600,0.608452000,19,9.486769e-20,PASS,12500,12500.00,12500,120935,125000.00,129065,1.033000,0.001924534
weak_4rank_50000_500000,directed,weak,4,5,50000,500000,50000,500000,125000.00,1.992027000,2.101621200,2.096022000,2.517135000,2.096332600,0.997472697,0.727167600,0.710005400,0.738106000,19,2.032879e-20,PASS,12500,12500.00,12500,116052,125000.00,130474,1.044000,0.001835155
weak_8rank_100000_1000000,directed,weak,8,5,100000,1000000,100000,1000000,125000.00,6.379864000,9.919046200,11.123491000,10.971380600,9.907419800,0.998748184,1.156430200,0.876151400,8.297057800,19,1.016440e-20,PASS,12500,12500.00,12500,112315,125000.00,130540,1.044000,0.000388828
weak_16rank_200000_2000000,directed,weak,16,5,200000,2000000,200000,2000000,125000.00,21.096002000,23.825432200,23.215742000,27.569448600,23.806880800,0.999207919,1.570890200,0.893192400,21.812665200,19,1.016440e-20,PASS,12500,12500.00,12500,107385,125000.00,131324,1.051000,0.000161877
