dataset,mode,ranks,threads,total_workers,runs,pr_time_min_s,pr_time_avg_s,pr_time_median_s,total_time_avg_s,comm_time_avg_s,comm_fraction_avg,dangling_reduce_avg_s,diff_reduce_avg_s,allgatherv_avg_s,iterations,max_error_max,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
polblogs,directed,1,16,16,5,0.020573000,0.024309800,0.021245000,0.026096200,0.000042000,0.001805959,0.000009200,0.000007800,0.000024800,108,2.602085e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000000,1.000000000,1.000000000
polblogs,directed,2,8,16,5,0.010629000,0.010849800,0.010804000,0.012706600,0.001782400,0.164265479,0.000304400,0.000972600,0.000523000,108,2.602085e-18,PASS,612,612.00,612,1082,9545.00,18008,1.887000,2.240575863,2.240575863
polblogs,directed,4,4,16,5,0.003557000,0.005325000,0.004101000,0.007307400,0.004098400,0.742808489,0.001793400,0.001073800,0.001326200,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129000,4.565220657,4.565220657
polblogs,directed,8,2,16,5,0.003091000,0.004281200,0.003815000,0.006627800,0.003745400,0.865497945,0.001521200,0.001153800,0.001240000,108,1.734723e-18,PASS,153,153.00,153,89,2386.25,10528,4.412000,5.678267775,5.678267775
polblogs,directed,16,1,16,5,0.002708000,0.002906800,0.002955000,0.005157400,0.002771600,0.953291106,0.000612000,0.000875200,0.001622200,108,1.734723e-18,PASS,76,76.50,77,34,1193.12,5412,4.536000,8.363079675,8.363079675
