dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
skewed_100k_1m,directed,no_inv_static,1,2,2,9,0.044602000,0.242930000,0.001324000,0.029684767,0.000007000,0.000008000,0.001309000,0.041653000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,2,2,10,0.030293000,0.218543000,0.001163000,0.038391708,0.000003000,0.000006000,0.001154000,0.027817000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,140249,500000.00,859751,1.719502,2
skewed_100k_1m,directed,no_inv_static,1,4,4,1,0.022713000,0.176219000,0.001414000,0.062255096,0.000003000,0.000004000,0.001407000,0.020482000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,2,0.023378000,0.176432000,0.001433000,0.061296946,0.000003000,0.000005000,0.001425000,0.021210000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,3,0.023179000,0.173401000,0.001454000,0.062729195,0.000003000,0.000004000,0.001448000,0.020982000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,4,0.022630000,0.187212000,0.001405000,0.062085727,0.000003000,0.000004000,0.001398000,0.020452000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,5,0.023089000,0.172612000,0.001417000,0.061371216,0.000003000,0.000005000,0.001410000,0.020896000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,6,0.022586000,0.179867000,0.001405000,0.062206677,0.000003000,0.000003000,0.001399000,0.020422000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,7,0.024585000,0.180382000,0.001437000,0.058450275,0.000003000,0.000005000,0.001428000,0.022415000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,8,0.023067000,0.179328000,0.001425000,0.061776564,0.000003000,0.000004000,0.001418000,0.020858000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,9,0.022356000,0.171580000,0.001409000,0.063025586,0.000003000,0.000004000,0.001402000,0.020259000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,4,4,10,0.022470000,0.192017000,0.001481000,0.065910102,0.000003000,0.000004000,0.001473000,0.020220000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,69783,250000.00,789776,3.159104,4
skewed_100k_1m,directed,no_inv_static,1,8,8,1,0.021093000,0.170708000,0.001491000,0.070686958,0.000003000,0.000005000,0.001483000,0.019158000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,2,0.019453000,0.183099000,0.001475000,0.075823780,0.000003000,0.000005000,0.001467000,0.017536000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,3,0.019906000,0.171477000,0.001588000,0.079774942,0.000003000,0.000004000,0.001581000,0.017866000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,4,0.019452000,0.169932000,0.001462000,0.075159367,0.000003000,0.000005000,0.001454000,0.017535000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,5,0.019400000,0.173873000,0.001463000,0.075412371,0.000003000,0.000004000,0.001456000,0.017492000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,6,0.019468000,0.176220000,0.001466000,0.075303061,0.000002000,0.000004000,0.001459000,0.017556000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,7,0.031289000,0.191466000,0.001615000,0.051615584,0.000003000,0.000004000,0.001608000,0.028039000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,8,0.022826000,0.198489000,0.001584000,0.069394550,0.000003000,0.000005000,0.001577000,0.020756000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,8,8,9,0.019963000,0.202179000,0.001467000,0.073485949,0.000003000,0.000005000,0.001459000,0.018046000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
