dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
polblogs,directed,no_inv_static,1,16,16,26,0.022011000,0.023685000,0.000039000,0.001771841,0.000008000,0.000007000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,27,0.021208000,0.022861000,0.000035000,0.001650321,0.000007000,0.000006000,0.000022000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,28,0.021204000,0.022854000,0.000053000,0.002499528,0.000012000,0.000017000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,29,0.021562000,0.023314000,0.000039000,0.001808738,0.000011000,0.000007000,0.000021000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,1,16,16,30,0.022663000,0.024355000,0.000041000,0.001809116,0.000009000,0.000008000,0.000024000,108,8.673617e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,no_inv_static,4,4,16,1,0.005200000,0.007172000,0.004106000,0.789615385,0.002242000,0.000799000,0.001389000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,2,0.007244000,0.009265000,0.006023000,0.831446715,0.003838000,0.000897000,0.001369000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,3,0.003778000,0.005781000,0.002723000,0.720751720,0.000662000,0.000721000,0.001388000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,4,0.003724000,0.005751000,0.002571000,0.690386681,0.000676000,0.000816000,0.001301000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,5,0.003732000,0.005805000,0.002817000,0.754823151,0.000354000,0.000859000,0.001613000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,6,0.006529000,0.008886000,0.005445000,0.833971512,0.003312000,0.000814000,0.001337000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,7,0.003480000,0.005418000,0.002507000,0.720402299,0.000444000,0.000776000,0.001350000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,8,0.003631000,0.005650000,0.002648000,0.729275682,0.000297000,0.000853000,0.001524000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,9,0.003426000,0.005402000,0.002471000,0.721249270,0.000432000,0.000822000,0.001340000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,10,0.006411000,0.008305000,0.005455000,0.850881298,0.003511000,0.000779000,0.001239000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,11,0.003412000,0.005310000,0.002427000,0.711313013,0.000396000,0.000797000,0.001318000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,12,0.003803000,0.005723000,0.002789000,0.733368393,0.000744000,0.000792000,0.001357000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,13,0.003205000,0.005187000,0.002270000,0.708268331,0.000307000,0.000758000,0.001289000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,14,0.003882000,0.005861000,0.002858000,0.736218444,0.000858000,0.000744000,0.001304000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,15,0.005736000,0.007955000,0.004737000,0.825836820,0.002747000,0.000743000,0.001307000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,16,0.003346000,0.005351000,0.002306000,0.689181112,0.000419000,0.000806000,0.001277000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,17,0.005606000,0.007557000,0.004646000,0.828754905,0.002388000,0.000719000,0.001797000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,18,0.004618000,0.006607000,0.003705000,0.802295366,0.001650000,0.000838000,0.001256000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,19,0.003312000,0.005292000,0.002267000,0.684480676,0.000292000,0.000737000,0.001301000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,20,0.004856000,0.006868000,0.003820000,0.786655684,0.001734000,0.000884000,0.001314000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,21,0.003855000,0.005853000,0.002676000,0.694163424,0.000847000,0.000827000,0.001341000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,22,0.014722000,0.016728000,0.013464000,0.914549654,0.006261000,0.005919000,0.001646000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,23,0.005689000,0.007710000,0.004703000,0.826683073,0.002593000,0.000840000,0.001302000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
